org_sujo;org_detalhe_sujo;id_org_dupla;org_detalhe_limpo;org_limpo;id_org_unica
Ministério da Agricultura, Pecuária e Abastecimento;"Serviço Florestal Brasileiro; Diretoria de Pesquisa e Informação Florestal";3004;NA;Ministério da Agricultura, Pecuária e Abastecimento;421
Ministério da Ciência e Tecnologia;NA;2757;NA;Ministério da Ciência e Tecnologia;422
Ministério da Ciência e Tecnologia;"Coordenadoria Geral de Biodiversidade; Secretaria de Políticas e Programas de Pesquisa e Desenvolvimento";2765;NA;Ministério da Ciência e Tecnologia;422
Ministério da Ciência e Tecnologia;"Coordenadoria Geral de Biotecnologia e Saúde; Secretaria de Políticas Estratégicas e de Desenvolvimento Científico";2766;NA;Ministério da Ciência e Tecnologia;422
Ministério da Ciência, Tecnologia e Inovação;NA;2831;NA;Ministério da Ciência e Tecnologia;422
Ministério da Ciência, Tecnologia, Inovação e Comunicações;Biossegurança;2909;NA;Ministério da Ciência e Tecnologia;422
Ministério da Ciência e Tecnologia;"Departamento de Política Científica e Programas Especiais; Secretaria de Políticas e Programas";2979;NA;Ministério da Ciência e Tecnologia;422
Ministério da Ciência e Tecnologia;Secretaria de Políticas e Programas;2981;NA;Ministério da Ciência e Tecnologia;422
Ministério da Ciência e Tecnologia;Secretaria de Políticas e Programas de Pesquisa e Desenvolvimento;2984;NA;Ministério da Ciência e Tecnologia;422
Ministério da Ciência e Tecnologia;"Secretaria de Políticas e Programas de Pesquisa e Desenvolvimento; Coordenadoria para Mar e Antártica";2985;NA;Ministério da Ciência e Tecnologia;422
Ministério da Ciência e Tecnologia;Cooperação Internacional;2987;NA;Ministério da Ciência e Tecnologia;422
Ministério da Ciência e Tecnologia;Coordenação de Oceano e Antártica;2989;NA;Ministério da Ciência e Tecnologia;422
Ministério da Ciência, Tecnologia e Inovação;Cooperação Internacional;2990;NA;Ministério da Ciência e Tecnologia;422
Ministério da Ciência, Tecnologia, Inovação e Comunicações;Pesquisa;2993;NA;Ministério da Ciência e Tecnologia;422
Ministério da Ciência, Tecnologia e Inovação;"Secretaria de Políticas e Programas de Pesquisa e Desenvolvimento; Coordenadoria para Mar e Antártica";2994;NA;Ministério da Ciência e Tecnologia;422
Ministério da Defesa;NA;2782;NA;Ministério da Defesa;424
Ministério da Fazenda;NA;2915;NA;Ministério da Fazenda;427
Ministério da Saúde;NA;2780;NA;Ministério da Saúde;432
Ministry of External Relations;Embassy of Brazil in Nairobi;61;NA;Ministério das Relações Exteriores;435
Ministry of External Relations;NA;89;NA;Ministério das Relações Exteriores;435
Ministry of External Relations;Environment Division;120;NA;Ministério das Relações Exteriores;435
Ministry of Foreign Affairs;Permanent Mission of Brazil to the United Nations in New York;175;NA;Ministério das Relações Exteriores;435
Ministry of External Relations;Permanent Representation of Brazil to FAO;304;NA;Ministério das Relações Exteriores;435
Ministério das Relações Exteriores;Divisão de Meio Ambiente;1271;NA;Ministério das Relações Exteriores;435
Ministério das Relações Exteriores;Embaixada do Brasil em Buenos Aires;2739;NA;Ministério das Relações Exteriores;435
Ministério das Relações Exteriores;Departamento de Temas Especiais;2740;NA;Ministério das Relações Exteriores;435
