"ano";"id_org_unica";"dotacao_atual_total";"pago_total";"dotacao_atual_invest";"pago_invest";"servidores_superior";"servidores_naosup";"forca_trabalho";"org_limpo"
2005;433;12379676460;6381574359;5202467525;564860975;1448;1790;320;"Ministério das Cidades"
2005;434;3661098976;1013807642;150681968;12477180;239;289;2000;"Ministério das Comunicações"
2005;435;1842500688;1525761381;68151689;62921888;2303;1014;3173;"Ministério das Relações Exteriores"
2005;436;4491759944;771721977;40411468;13133413;1502;1004;2351;"Ministério de Minas e Energia"
2005;437;3308360050;2568927328;464731747;206227422;144;142;5670;"Ministério do Desenvolvimento Agrário"
2005;438;15997744394;15511819816;184526373;87350943;261;158;381;"Ministério do Desenvolvimento Social e Combate à Fome"
2005;439;1034899948;659861698;156622796;33756980;NA;NA;2328;"Ministério do Desenvolvimento, Indústria e Comércio Exterior"
2005;440;685548543;110233453;463978719;11760052;100;129;219;"Ministério do Esporte"
2005;442;2244690389;1040612166;134254503;21903205;4307;3759;8013;"Ministério do Meio Ambiente"
2005;444;2199280761;1673580402;30826785;2453189;2601;2096;14550;"Ministério do Planejamento, Orçamento e Gestão"
2005;445;31530616493;22890632655;34799277;18748088;4442;2596;7195;"Ministério do Trabalho e Emprego"
2005;446;1037087878;333079613;649807883;87964077;1385;1113;271;"Ministério do Turismo"
2005;523;1989928006;1389464515;156233201;46185538;11499;4658;4222;"Presidência da República"
2005;551;0;0;0;0;NA;NA;NA;"Secretaria de Assuntos Estratégicos"
2005;552;0;0;0;0;NA;NA;NA;"Secretaria de Aviação Civil"
2005;557;0;0;0;0;NA;NA;NA;"Secretaria de Políticas de Promoção da Igualdade Racial"
2005;561;0;0;0;0;NA;NA;NA;"Secretaria Especial de Direitos Humanos"
2005;562;0;0;0;0;NA;NA;NA;"Secretaria Especial de Políticas para as Mulheres"
2005;564;0;0;0;0;NA;NA;NA;"Secretaria Nacional de Portos"
2005;658;4855330;4235892;2e+07;6845;NA;NA;NA;"Vice-Presidência da República"
2005;700;10197955383;4804367739;6565282216;2065904152;2128;2713;NA;"Ministério da Infra-Estrutura"
2005;750;0;0;0;0;NA;NA;NA;"Ministério da Mulher, da Família e dos Direitos Humanos"
2005;751;0;0;0;0;NA;NA;NA;"Secretaria Especial da Micro e Pequena Empresa"
2005;752;0;0;0;0;NA;NA;NA;"Ministério da Segurança Pública"
2006;27;1141135024;1093274239;20776690;786108;NA;NA;8249;"AGU - Advocacia Geral da União"
2006;176;0;0;0;0;NA;NA;NA;"Controladoria Geral da União"
2006;421;6065988895;4082531281;454106532;53484623;8021;9961;11409;"Ministério da Agricultura, Pecuária e Abastecimento"
2006;422;5179659053;3129951031;1058175657;466096793;3217;1024;7111;"Ministério da Ciência e Tecnologia"
2006;423;787585683;474095701;147996602;28874049;281;250;2960;"Ministério da Cultura"
2006;424;38406483176;34487207155;2304947417;1153997193;9782;18489;28369;"Ministério da Defesa"
2006;425;11862029149;10354998496;331179612;52125122;57268;47009;NA;"Ministério da Economia"
2006;426;24904363112;21673566266;1349736722;288036017;109133;59270;179449;"Ministério da Educação"
2006;429;6176767668;5033043603;920105751;218834954;14949;12948;27516;"Ministério da Justiça"
2006;430;0;0;0;0;NA;NA;NA;"Ministério da Pesca e Aquicultura"
2006;431;1,75e+18;1,74e+18;208164288;21901750;1845;1081;43782;"Ministério da Previdência Social"
2006;432;46180558742;39949908860;3316729809;431530233;45402;64493;109107;"Ministério da Saúde"
2006;433;12881306999;6713257586;5298438356;525546860;1603;1790;430;"Ministério das Cidades"
2006;434;4039328645;1052371635;120311424;9212454;301;317;2009;"Ministério das Comunicações"
2006;435;1642401788;1501281648;39506376;21944256;2349;994;3214;"Ministério das Relações Exteriores"
2006;436;4353893635;683390152;34915278;14497245;1758;1066;2678;"Ministério de Minas e Energia"
2006;437;3740880866;2782915072;638743899;244499174;150;154;6538;"Ministério do Desenvolvimento Agrário"
2006;438;22597154985;21286274568;203600940;89468106;375;189;522;"Ministério do Desenvolvimento Social e Combate à Fome"
2006;439;1115960071;715664519;107334894;34712827;NA;NA;2641;"Ministério do Desenvolvimento, Indústria e Comércio Exterior"
2006;440;1019433029;266516355;572903496;92034042;100;125;215;"Ministério do Esporte"
2006;442;2391458395;1205785912;122747390;37633998;4274;4193;8469;"Ministério do Meio Ambiente"
2006;444;2630416403;2153518142;177777378;16319680;2909;2051;16235;"Ministério do Planejamento, Orçamento e Gestão"
2006;445;35028110031;27145549138;29947846;18991330;4373;2517;7044;"Ministério do Trabalho e Emprego"
2006;446;1702161649;682269820;1310069071;387978415;1810;1122;357;"Ministério do Turismo"
2006;523;2034254444;1539666515;122619354;43843492;12459;4750;4875;"Presidência da República"
2006;551;0;0;0;0;NA;NA;NA;"Secretaria de Assuntos Estratégicos"
2006;552;0;0;0;0;NA;NA;NA;"Secretaria de Aviação Civil"
2006;557;0;0;0;0;NA;NA;NA;"Secretaria de Políticas de Promoção da Igualdade Racial"
2006;561;0;0;0;0;NA;NA;NA;"Secretaria Especial de Direitos Humanos"
2006;562;0;0;0;0;NA;NA;NA;"Secretaria Especial de Políticas para as Mulheres"
2006;564;0;0;0;0;NA;NA;NA;"Secretaria Nacional de Portos"
2006;658;5243472;4995656;737;470;NA;NA;NA;"Vice-Presidência da República"
2006;700;9652097975;4836135784;6198310066;2040196730;2866;3047;NA;"Ministério da Infra-Estrutura"
2006;750;0;0;0;0;NA;NA;NA;"Ministério da Mulher, da Família e dos Direitos Humanos"
2006;751;0;0;0;0;NA;NA;NA;"Secretaria Especial da Micro e Pequena Empresa"
2006;752;0;0;0;0;NA;NA;NA;"Ministério da Segurança Pública"
