nome_org_original;org_limpo;id_org_unica;estr_intl;ano
Controladoria-Geral da União;Controladoria Geral da União;176;1;2008
Gabinete de Segurança Institucional da Presidência da República;Gabinete de Segurança Institucional da Presidência;304;0;2008
Ministério da Agricultura, Pecuária e Abastecimento;Ministério da Agricultura, Pecuária e Abastecimento;421;1;2008
Ministério da Ciência e Tecnologia;Ministério da Ciência e Tecnologia;422;1;2008
Ministério da Ciência e Tecnologia;Ministério da Ciência e Tecnologia;422;1;2008
Ministério da Fazenda;Ministério da Fazenda;427;1;2008
Ministério da Fazenda;Ministério da Fazenda;427;1;2008
Ministério da Fazenda;Ministério da Fazenda;427;1;2008
Ministério da Previdência Social;Ministério da Previdência Social;431;1;2008
Ministério das Comunicações;Ministério das Comunicações;434;0;2008
Ministério do Trabalho e Emprego;Ministério do Trabalho e Emprego;445;1;2008
Ministério do Turismo;Ministério do Turismo;446;1;2008
Gabinete Pessoal do Presidente da República;Presidência da República;523;0;2008
Gabinete Pessoal do Presidente da República;Presidência da República;523;0;2008
Secretaria de Assuntos Estratégicos da Presidência da República;Secretaria de Assuntos Estratégicos;551;0;2008
Secretaria de Comunicação Social da Presidência da República;Secretaria de Comunicação Social da Presidência;554;1;2008
Secretaria-Geral da Presidência da República;Secretaria Geral da Presidência da República;563;0;2008
Casa Civil da Presidência da República;Casa Civil da Presidência da República;106;0;2009
Casa Civil da Presidência da República;Casa Civil da Presidência da República;106;0;2009
Gabinete de Segurança Institucional da Presidência da República;Gabinete de Segurança Institucional da Presidência;304;1;2009
Ministério da Cultura;Ministério da Cultura;423;1;2009
Ministério da Educação;Ministério da Educação;426;1;2009
Ministério da Educação;Ministério da Educação;426;1;2009
Ministério da Fazenda;Ministério da Fazenda;427;1;2009
Ministério da Fazenda;Ministério da Fazenda;427;1;2009
Ministério da Justiça;Ministério da Justiça;429;1;2009
Ministério da Pesca e Aquicultura;Ministério da Pesca e Aquicultura;430;1;2009
Ministério da Previdência Social;Ministério da Previdência Social;431;0;2009
Ministério da Saúde;Ministério da Saúde;432;1;2009
Ministério do Desenvolvimento Agrário;Ministério do Desenvolvimento Agrário;437;1;2009
Ministério do Planejamento, Orçamento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444;1;2009
Ministério do Planejamento, Orçamento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444;1;2009
Ministério do Trabalho e Emprego;Ministério do Trabalho e Emprego;445;1;2009
Gabinete Pessoal do Presidente da República;Presidência da República;523;0;2009
Gabinete Pessoal do Presidente da República;Presidência da República;523;0;2009
Secretaria Especial dos Direitos Humanos da Presidência da República;Secretaria Especial de Direitos Humanos;561;1;2009
Secretaria Especial dos Direitos Humanos da Presidência da República;Secretaria Especial de Direitos Humanos;561;1;2009
Secretaria Especial de Políticas para as Mulheres da Presidência da República;Secretaria Especial de Políticas para as Mulheres;562;0;2009
Secretaria Especial de Políticas para as Mulheres da Presidência da República;Secretaria Especial de Políticas para as Mulheres;562;0;2009
Secretaria Especial de Políticas para as Mulheres da Presidência da República;Secretaria Especial de Políticas para as Mulheres;562;0;2009
Advocacia-Geral da União ;AGU - Advocacia Geral da União;27;1;2010
Casa Civil da Presidência da República;Casa Civil da Presidência da República;106;0;2010
Casa Civil da Presidência da República;Casa Civil da Presidência da República;106;0;2010
Gabinete de Segurança Institucional da Presidência da República;Gabinete de Segurança Institucional da Presidência;304;1;2010
Gabinete de Segurança Institucional da Presidência da República;Gabinete de Segurança Institucional da Presidência;304;1;2010
Ministério da Agricultura, Pecuária e Abastecimento;Ministério da Agricultura, Pecuária e Abastecimento;421;1;2010
Ministério da Defesa;Ministério da Defesa;424;1;2010
Ministério da Fazenda;Ministério da Fazenda;427;1;2010
Ministério da Fazenda;Ministério da Fazenda;427;1;2010
Ministério da Fazenda;Ministério da Fazenda;427;1;2010
Ministério da Integração Nacional;Ministério da Integração Nacional;428;0;2010
Ministério da Previdência Social;Ministério da Previdência Social;431;1;2010
Ministério da Saúde;Ministério da Saúde;432;1;2010
Ministério da Saúde;Ministério da Saúde;432;1;2010
Ministério das Relações Exteriores;Ministério das Relações Exteriores;435;1;2010
Ministério do Desenvolvimento Agrário;Ministério do Desenvolvimento Agrário;437;1;2010
Ministério do Desenvolvimento Agrário;Ministério do Desenvolvimento Agrário;437;1;2010
Ministério do Desenvolvimento Social e Combate à Fome;Ministério do Desenvolvimento Social e Combate à Fome;438;1;2010
Ministério do Desenvolvimento, Indústria e Comércio Exterior;Ministério do Desenvolvimento, Indústria e Comércio Exterior;439;1;2010
Ministério do Esporte;Ministério do Esporte;440;1;2010
Ministério do Planejamento, Orçamento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444;1;2010
Gabinete Pessoal do Presidente da República;Presidência da República;523;0;2010
Secretaria de Assuntos Estratégicos da Presidência da República;Secretaria de Assuntos Estratégicos;551;0;2010
Secretaria de Políticas de Promoção da Igualdade Racial da Presidência da República;Secretaria de Políticas de Promoção da Igualdade Racial;557;0;2010
Secretaria de Direitos Humanos da Presidência da República;Secretaria Especial de Direitos Humanos;561;1;2010
Secretaria de Portos da Presidência da República;Secretaria Nacional de Portos;564;0;2010
Procuradoria-Geral Federal;;;0;2010
Advocacia-Geral da União;AGU - Advocacia Geral da União;27;1;2011
Controladoria-Geral da União;Controladoria Geral da União;176;1;2011
Gabinete de Segurança Institucional da Presidência da República;Gabinete de Segurança Institucional da Presidência;304;0;2011
Ministério da Ciência e Tecnologia;Ministério da Ciência e Tecnologia;422;1;2011
Ministério da Defesa;Ministério da Defesa;424;1;2011
Ministério da Educação;Ministério da Educação;426;1;2011
Ministério da Fazenda;Ministério da Fazenda;427;1;2011
Ministério da Integração Nacional;Ministério da Integração Nacional;428;0;2011
Ministério da Justiça;Ministério da Justiça;429;1;2011
Ministério da Justiça;Ministério da Justiça;429;1;2011
Ministério da Previdência Social;Ministério da Previdência Social;431;1;2011
Ministério da Saúde;Ministério da Saúde;432;1;2011
Ministério das Cidades;Ministério das Cidades;433;1;2011
Ministério das Comunicações;Ministério das Comunicações;434;0;2011
Ministério do Desenvolvimento Social e Combate à Fome;Ministério do Desenvolvimento Social e Combate à Fome;438;1;2011
Ministério do Desenvolvimento, Indústria e Comércio Exterior;Ministério do Desenvolvimento, Indústria e Comércio Exterior;439;1;2011
Ministério do Esporte;Ministério do Esporte;440;1;2011
Ministério do Meio Ambiente;Ministério do Meio Ambiente;442;1;2011
Ministério do Planejamento, Orçamento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444;1;2011
Ministério do Trabalho e Emprego;Ministério do Trabalho e Emprego;445;1;2011
Secretaria de Aviação Civil da Presidência;Secretaria de Aviação Civil;552;0;2011
Procuradoria-Geral Federal;;;0;2011
Casa Civil da Presidência da República;Casa Civil da Presidência da República;106;0;2012
Ministério da Cultura;Ministério da Cultura;423;1;2012
Ministério da Educação;Ministério da Educação;426;1;2012
Ministério da Fazenda;Ministério da Fazenda;427;1;2012
Ministério da Saúde;Ministério da Saúde;432;1;2012
Ministério das Comunicações;Ministério das Comunicações;434;0;2012
