"id_org_unica";"ano";"part_count";"part_binaria";"org_limpo"
444;1976;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;1977;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;1978;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;1979;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;1980;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;1981;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;1982;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;1983;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;1984;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;1985;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;1986;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;1987;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;1988;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;1989;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;1990;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;1991;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;1992;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;1993;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;1994;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;1995;2;1;"Ministério do Planejamento, Orçamento e Gestão"
444;1996;1;1;"Ministério do Planejamento, Orçamento e Gestão"
444;1997;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;1998;1;1;"Ministério do Planejamento, Orçamento e Gestão"
444;1999;1;1;"Ministério do Planejamento, Orçamento e Gestão"
444;2000;1;1;"Ministério do Planejamento, Orçamento e Gestão"
444;2001;1;1;"Ministério do Planejamento, Orçamento e Gestão"
444;2002;1;1;"Ministério do Planejamento, Orçamento e Gestão"
444;2003;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;2004;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;2005;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;2006;1;1;"Ministério do Planejamento, Orçamento e Gestão"
444;2007;1;1;"Ministério do Planejamento, Orçamento e Gestão"
444;2008;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;2009;2;1;"Ministério do Planejamento, Orçamento e Gestão"
444;2010;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;2011;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;2012;13;1;"Ministério do Planejamento, Orçamento e Gestão"
444;2013;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;2014;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;2015;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;2016;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;2017;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;2018;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;2019;0;0;"Ministério do Planejamento, Orçamento e Gestão"
701;1970;0;0;"Ministério da Marinha"
701;1971;0;0;"Ministério da Marinha"
701;1972;0;0;"Ministério da Marinha"
701;1973;0;0;"Ministério da Marinha"
701;1974;0;0;"Ministério da Marinha"
701;1975;0;0;"Ministério da Marinha"
701;1976;0;0;"Ministério da Marinha"
701;1977;0;0;"Ministério da Marinha"
701;1978;0;0;"Ministério da Marinha"
701;1979;0;0;"Ministério da Marinha"
701;1980;0;0;"Ministério da Marinha"
701;1981;0;0;"Ministério da Marinha"
701;1982;0;0;"Ministério da Marinha"
701;1983;0;0;"Ministério da Marinha"
701;1984;0;0;"Ministério da Marinha"
701;1985;0;0;"Ministério da Marinha"
701;1986;0;0;"Ministério da Marinha"
701;1987;0;0;"Ministério da Marinha"
701;1988;0;0;"Ministério da Marinha"
701;1989;0;0;"Ministério da Marinha"
701;1990;0;0;"Ministério da Marinha"
701;1991;0;0;"Ministério da Marinha"
701;1992;2;1;"Ministério da Marinha"
701;1993;0;0;"Ministério da Marinha"
701;1994;0;0;"Ministério da Marinha"
701;1995;0;0;"Ministério da Marinha"
701;1996;0;0;"Ministério da Marinha"
701;1997;0;0;"Ministério da Marinha"
701;1998;2;1;"Ministério da Marinha"
701;1999;0;0;"Ministério da Marinha"
701;2000;0;0;"Ministério da Marinha"
701;2001;0;0;"Ministério da Marinha"
701;2002;0;0;"Ministério da Marinha"
701;2003;0;0;"Ministério da Marinha"
701;2004;0;0;"Ministério da Marinha"
701;2005;0;0;"Ministério da Marinha"
701;2006;0;0;"Ministério da Marinha"
701;2007;0;0;"Ministério da Marinha"
701;2008;0;0;"Ministério da Marinha"
701;2009;0;0;"Ministério da Marinha"
701;2010;0;0;"Ministério da Marinha"
701;2011;0;0;"Ministério da Marinha"
701;2012;0;0;"Ministério da Marinha"
701;2013;0;0;"Ministério da Marinha"
701;2014;0;0;"Ministério da Marinha"
701;2015;0;0;"Ministério da Marinha"
701;2016;0;0;"Ministério da Marinha"
701;2017;0;0;"Ministério da Marinha"
701;2018;0;0;"Ministério da Marinha"
701;2019;0;0;"Ministério da Marinha"
