id_org_ano;id_org_unica;ano;org_limpo;part_count;part_binaria;existencia;dotacao_atual_total;pago_total;dotacao_atual_invest;pago_invest;servidores_superior;servidores_naosup;forca_trabalho_bep
2014422;422;2014;Ministério da Ciência e Tecnologia;7;1;1;10215851696;6630474529;1321750072;326320821;2778;1026;6887
2015422;422;2015;Ministério da Ciência e Tecnologia;10;1;1;10084697771;5819261618;969523151;120919501;2772;1059;6652
2016422;422;2016;Ministério da Ciência e Tecnologia;5;1;1;9271969654;5995707643;676962735;266868272;2682;1034;8654
2017422;422;2017;Ministério da Ciência e Tecnologia;9;1;1;14954716524;8092391439;850473116;380362954;2555;965;NA
2018422;422;2018;Ministério da Ciência e Tecnologia;9;1;1;12345225985;8227748385;573706447;287475256;2512;923;NA
2019422;422;2019;Ministério da Ciência e Tecnologia;5;1;1;13909133639;7661043463;459628457;236711182;2408;848;NA
1997426;426;1997;Ministério da Educação;0;0;1;NA;NA;NA;NA;NA;NA;174966
1998426;426;1998;Ministério da Educação;0;0;1;NA;NA;NA;NA;NA;NA;168403
1999426;426;1999;Ministério da Educação;0;0;1;NA;NA;NA;NA;75279;79696;165510
2000426;426;2000;Ministério da Educação;0;0;1;14359294228;11541552456;1107120168;312975460;77187;77835;165595
2001426;426;2001;Ministério da Educação;0;0;1;16760032191;13234679547;1468831890;508581754;92980;60010;163479
2002426;426;2002;Ministério da Educação;1;1;1;18261210134;15760729579;984810859;305935843;96591;58236;165163
2003426;426;2003;Ministério da Educação;0;0;1;18902857426;16570771043;709871441;245636182;96766;58075;164870
2004426;426;2004;Ministério da Educação;0;0;1;19521090512;17157878368;695394091;264227336;101518;60025;171925
2005426;426;2005;Ministério da Educação;0;0;1;22329424928;18082501459;1110137410;292232186;103018;59635;173181
2006426;426;2006;Ministério da Educação;0;0;1;24904363112;21673566266;1349736722;288036017;109133;59270;179449
2007426;426;2007;Ministério da Educação;0;0;1;29474812754;24625885394;2920772513;640838680;111309;57864;180895
2008426;426;2008;Ministério da Educação;0;0;1;34820102236;28984386427;3748817754;739783613;118517;56950;188440
2009426;426;2009;Ministério da Educação;0;0;1;45283180939;36388742028;5701161494;1231275183;128267;55646;199174
2010426;426;2010;Ministério da Educação;0;0;1;58060911146;47327358112;7271410535;2642570738;158221;59954;215025
2011426;426;2011;Ministério da Educação;0;0;1;68388140257;53551493297;9353958285;2656516692;172944;58522;227848
2012426;426;2012;Ministério da Educação;13;1;1;85179469661;62498898963;18046331566;5614315195;185272;57041;238335
2013426;426;2013;Ministério da Educação;0;0;1;92362047862;69913265639;13770531295;2211023664;200277;53417;247961
2014426;426;2014;Ministério da Educação;0;0;1;1,01E+13;79730860685;14497899431;2608328317;220707;51961;270024
2015426;426;2015;Ministério da Educação;0;0;1;1,10E+13;86019861161;13163047445;1363970692;238501;42851;278444
2016426;426;2016;Ministério da Educação;0;0;1;1,06E+13;90683711320;6348185576;1685099241;252488;38750;288314
2017426;426;2017;Ministério da Educação;0;0;1;1,11E+13;96611127215;6116785878;1161387017;261824;35247;NA
2018426;426;2018;Ministério da Educação;0;0;1;1,16E+13;98161637160;4322191693;1621864747;269125;31732;NA
2019426;426;2019;Ministério da Educação;0;0;1;1,24E+13;1,01E+13;5881335448;836128009;272632;27411;NA
1997429;429;1997;Ministério da Justiça;0;0;1;NA;NA;NA;NA;NA;NA;23261
1998429;429;1998;Ministério da Justiça;0;0;1;NA;NA;NA;NA;NA;NA;22490
1999429;429;1999;Ministério da Justiça;0;0;1;NA;NA;NA;NA;7536;15912;23113
2000429;429;2000;Ministério da Justiça;0;0;1;3420887639;2877614720;667364857;379156640;7184;14399;21197
2001429;429;2001;Ministério da Justiça;0;0;1;3720323616;3082749026;845657777;603555319;7422;13695;20685
2002429;429;2002;Ministério da Justiça;1;1;1;4210779964;3350117512;762527394;382525171;9493;11654;20729
2003429;429;2003;Ministério da Justiça;0;0;1;4154953149;3390846339;624862829;211232625;10305;11383;21244
2004429;429;2004;Ministério da Justiça;0;0;1;4515682402;3920064789;640752061;316032311;11620;12267;23463
2005429;429;2005;Ministério da Justiça;0;0;1;5375463058;4217561932;664315962;301844736;13108;12740;25502
2006429;429;2006;Ministério da Justiça;0;0;1;6176767668;5033043603;920105751;218834954;14949;12948;27516
2007429;429;2007;Ministério da Justiça;0;0;1;7661012349;6308292340;1276281273;442030236;15921;12387;27915
2008429;429;2008;Ministério da Justiça;1;1;1;9227604310;7309392076;1682559484;553693213;16759;11839;28168
2009429;429;2009;Ministério da Justiça;0;0;1;9617391666;7943512514;928114230;199724200;17948;11595;29130
2010429;429;2010;Ministério da Justiça;0;0;1;11053304431;8808372778;1304688007;216035269;19718;11484;30969
2011429;429;2011;Ministério da Justiça;0;0;1;12271094760;8783199081;1570853586;176153129;20173;11261;31183
2012429;429;2012;Ministério da Justiça;7;1;1;13433120652;8757418698;3248597067;356818036;20998;10777;31497
2013429;429;2013;Ministério da Justiça;1;1;1;12849894089;9213095914;2400182290;384550802;22225;10089;32063
2014429;429;2014;Ministério da Justiça;0;0;1;12756351338;9224181566;1871913311;122254675;23479;9861;32897
2015429;429;2015;Ministério da Justiça;0;0;1;13484627648;9962542811;1715859306;62476408;23416;9199;32156
2016429;429;2016;Ministério da Justiça;0;0;1;15750019143;11972693039;2600819143;1193081641;24351;8856;32777
2017429;429;2017;Ministério da Justiça;0;0;1;17066014731;13093874951;2292861021;538756730;23767;8316;NA
2018429;429;2018;Ministério da Justiça;0;0;1;16814108168;12356004694;1799567408;214831311;23692;7839;NA
2019429;429;2019;Ministério da Justiça;0;0;1;18546428199;12999760782;2748115868;375246720;23802;7355;NA
1997431;431;1997;Ministério da Previdência Social;0;0;1;NA;NA;NA;NA;NA;NA;45718
1998431;431;1998;Ministério da Previdência Social;0;0;1;NA;NA;NA;NA;NA;NA;43789
1999431;431;1999;Ministério da Previdência Social;0;0;1;NA;NA;NA;NA;534;809;41566
2000431;431;2000;Ministério da Previdência Social;0;0;1;75552882847;74270255428;93046373;39712198;434;673;40664
2001431;431;2001;Ministério da Previdência Social;0;0;1;86777469658;85754729000;175750318;23655361;481;626;40121
2002431;431;2002;Ministério da Previdência Social;0;0;1;1,00E+13;98867996096;157917037;13869137;503;565;39523
2003431;431;2003;Ministério da Previdência Social;0;0;1;1,16E+13;1,13E+13;57218489;4615762;493;551;40254
2004431;431;2004;Ministério da Previdência Social;0;0;1;1,34E+13;1,32E+13;41050725;8087499;953;733;40660
2005431;431;2005;Ministério da Previdência Social;0;0;1;1,55E+13;1,53E+13;100906731;5770782;1785;1063;42202
2006431;431;2006;Ministério da Previdência Social;0;0;1;1,75E+13;1,74E+13;208164288;21901750;1845;1081;43782
2007431;431;2007;Ministério da Previdência Social;0;0;1;1,93E+13;1,92E+13;131250000;12685811;797;616;39771
2008431;431;2008;Ministério da Previdência Social;0;0;1;2,12E+13;1,94E+13;172228238;22559044;829;604;39983
2009431;431;2009;Ministério da Previdência Social;0;0;1;2,41E+13;2,24E+13;781788118;22747000;820;592;39006
2010431;431;2010;Ministério da Previdência Social;0;0;1;2,68E+13;2,54E+13;186468950;35263914;762;679;39557
2011431;431;2011;Ministério da Previdência Social;0;0;1;2,96E+13;2,81E+13;157984976;15794769;811;668;38239
2012431;431;2012;Ministério da Previdência Social;7;1;1;3,32E+13;3,16E+13;329972988;40663309;822;637;38906
2013431;431;2013;Ministério da Previdência Social;0;0;1;3,72E+13;3,56E+13;217920119;19731634;741;598;40285
2014431;431;2014;Ministério da Previdência Social;0;0;1;4,16E+13;3,92E+13;148575538;76750933;730;566;39205
2015431;431;2015;Ministério da Previdência Social;0;0;0;4,55E+13;4,28E+13;43218871;12957771;757;533;37924
2016431;431;2016;Ministério da Previdência Social;0;0;0;0;0;0;0;727;516;36709
2017431;431;2017;Ministério da Previdência Social;0;0;0;NA;NA;NA;NA;NA;NA;NA
2018431;431;2018;Ministério da Previdência Social;0;0;0;NA;NA;NA;NA;NA;NA;NA
2019431;431;2019;Ministério da Previdência Social;0;0;0;NA;NA;NA;NA;NA;NA;NA
1997436;436;1997;Ministério de Minas e Energia;1;1;1;NA;NA;NA;NA;NA;NA;2000
1998436;436;1998;Ministério de Minas e Energia;1;1;1;NA;NA;NA;NA;NA;NA;2030
1999436;436;1999;Ministério de Minas e Energia;1;1;1;NA;NA;NA;NA;1092;1004;1872
2000436;436;2000;Ministério de Minas e Energia;1;1;1;753366100;485156504;63386795;7818980;1120;1030;1936
2001436;436;2001;Ministério de Minas e Energia;0;0;1;1284219250;733318953;141609773;10606837;1136;1000;1902
2002436;436;2002;Ministério de Minas e Energia;5;1;1;3013377442;1692544345;237917965;12476761;1342;929;2104
2003436;436;2003;Ministério de Minas e Energia;2;1;1;2907750529;1316499572;134712642;10457923;1258;928;2022
2004436;436;2004;Ministério de Minas e Energia;6;1;1;3045794020;601780800;66374714;34837501;1255;930;2028
2005436;436;2005;Ministério de Minas e Energia;6;1;1;4491759944;771721977;40411468;13133413;1502;1004;2351
2006436;436;2006;Ministério de Minas e Energia;3;1;1;4353893635;683390152;34915278;14497245;1758;1066;2678
2007436;436;2007;Ministério de Minas e Energia;1;1;1;5488880956;799620574;49986107;15323853;1733;1065;2645
2008436;436;2008;Ministério de Minas e Energia;1;1;1;6291880844;1009428969;62547581;12116672;2029;1081;2957
